,origin_airport_id,op_unique_carrier,Delayed,ratio,Ratio_Percentage
822,11193,WN,1,37,
823,11193,YV,0,96,
824,11193,YV,1,21,
825,11193,YX,0,253,
826,11193,YX,1,36,
827,11203,9E,0,146,
828,11203,9E,1,36,
829,11203,MQ,0,116,
830,11203,MQ,1,29,
831,11203,OO,0,2,
832,11233,OO,0,37,
833,11233,OO,1,13,
834,11252,AA,0,34,
835,11252,AA,1,1,
836,11252,DL,0,236,
837,11252,DL,1,11,
838,11252,OH,0,184,
839,11252,OH,1,32,
840,11252,YX,0,5,
841,11252,YX,1,2,
842,11259,DL,0,187,
843,11259,DL,1,43,
844,11259,OO,0,253,
845,11259,OO,1,61,
846,11259,WN,0,7824,
847,11259,WN,1,1607,
848,11267,9E,0,222,
849,11267,9E,1,30,
850,11267,DL,0,177,
851,11267,DL,1,16,
852,11267,G4,0,12,
853,11267,G4,1,3,
854,11267,MQ,0,178,
855,11267,MQ,1,42,
856,11267,OH,0,590,
857,11267,OH,1,166,
858,11267,OO,0,131,
859,11267,OO,1,35,
860,11267,YV,0,75,
861,11267,YV,1,12,
862,11267,YX,0,16,
863,11274,MQ,0,118,
864,11274,MQ,1,27,
865,11278,9E,0,243,
866,11278,9E,1,38,
867,11278,AA,0,3220,
868,11278,AA,1,513,
869,11278,AS,0,188,
870,11278,AS,1,68,
871,11278,B6,0,1263,
872,11278,B6,1,158,
873,11278,DL,0,1179,
874,11278,DL,1,114,
875,11278,EV,0,377,
876,11278,EV,1,79,
877,11278,F9,0,135,
878,11278,F9,1,21,
879,11278,MQ,0,162,
880,11278,MQ,1,33,
881,11278,OH,0,2937,
882,11278,OH,1,1328,
883,11278,OO,0,64,
884,11278,OO,1,7,
885,11278,UA,0,387,
886,11278,UA,1,55,
887,11278,WN,0,1908,
888,11278,WN,1,345,
889,11278,YV,0,109,
890,11278,YV,1,24,
891,11278,YX,0,3431,
892,11278,YX,1,627,
893,11292,AA,0,1022,
894,11292,AA,1,237,
895,11292,AS,0,171,
896,11292,AS,1,64,
897,11292,B6,0,113,
898,11292,B6,1,30,
899,11292,DL,0,1389,
900,11292,DL,1,190,
901,11292,F9,0,2308,
902,11292,F9,1,468,
903,11292,G4,1,2,
904,11292,NK,0,470,
905,11292,NK,1,80,
906,11292,OO,0,6148,
907,11292,OO,1,1394,
908,11292,UA,0,8007,
909,11292,UA,1,1400,
910,11292,WN,0,7703,
911,11292,WN,1,1629,
912,11292,YX,0,846,
913,11292,YX,1,123,
914,11298,9E,0,121,
915,11298,9E,1,34,
916,11298,AA,0,14674,
917,11298,AA,1,4994,
918,11298,AS,0,104,
919,11298,AS,1,51,
920,11298,B6,0,62,
921,11298,B6,1,22,
922,11298,DL,0,1260,
923,11298,DL,1,290,
924,11298,F9,0,129,
925,11298,F9,1,23,
926,11298,MQ,0,6619,
927,11298,MQ,1,1644,
928,11298,NK,0,850,
929,11298,NK,1,133,
